Artist,PlayCount
Muse,1558
Ash,1312
Feeder,1157
Queen,949
Frank Turner,813
Stereophonics,576
Idlewild,551
Train,478
Lifehouse,475
Arctic Monkeys,469
Fleetwood Mac,467
The Subways,418
Weezer,398
Royal Blood,357
Foo Fighters,354
Snow Patrol,352
Green Day,333
The Killers,331
blink-182,316
Manic Street Preachers,306
The Beautiful South,303
The Corrs,282
The Pretenders,281
Red Hot Chili Peppers,275
Vampire Weekend,256
Crowded House,247
The Smashing Pumpkins,246
Bon Jovi,242
Embrace,242
Coldplay,235
Keane,233
Robbie Williams,232
Arcade Fire,231
AC/DC,226
The Calling,223
Matchbox Twenty,216
Radiohead,201
The Long Blondes,201
Paramore,195
Taylor Swift,190
Hot Hot Heat,188
Kasabian,188
Elbow,185
The Offspring,185
Streetlight Manifesto,179
Metallica,178
Adele,173
Jimmy Eat World,169
Oasis,164
The Beatles,161
New Found Glory,160
David Bowie,157
Florence + the Machine,154
Bastille,153
Los Campesinos!,153
Athlete,152
The Cure,152
U2,151
Bowling for Soup,146
White Lies,146
Madonna,145
Milburn,144
We Are Scientists,144
Linkin Park,143
HAIM,139
The Darkness,139
Doves,138
The Strokes,138
Sum 41,137
Yeah Yeah Yeahs,136
Blur,135
Alan Menken,132
Eminem,132
Texas,129
Lostprophets,126
No Doubt,125
Mystery Jets,123
Natalie Imbruglia,123
Travis,123
3 Doors Down,122
Biffy Clyro,121
Editors,120
Razorlight,120
Maroon 5,117
Ellie Goulding,116
Semisonic,116
Kelly Clarkson,113
Pulp,111
Thin Lizzy,111
Jet,110
Bloc Party,109
Garbage,108
The King Blues,108
Bellowhead,107
Nirvana,107
Ocean Colour Scene,107
Queens of the Stone Age,107
Franz Ferdinand,106
James,106
Ed Sheeran,105
My Chemical Romance,104
R.E.M.,104
The Gaslight Anthem,102
The Courteeners,101
The 1975,100
Avril Lavigne,99
Imagine Dragons,99
Noah and the Whale,99
Elton John,97
Måneskin,97
Kings of Leon,95
The Coral,94
Silversun Pickups,92
Starsailor,92
The Cranberries,92
Daft Punk,91
Del Amitri,91
The Vaccines,90
Mumford & Sons,88
The Smiths,87
Thomas Newman,86
The Libertines,85
The Rolling Stones,85
The Clash,84
Eagles,82
Paolo Nutini,82
Stevie Wonder,82
Duran Duran,81
Aerosmith,80
Passenger,79
The Script,79
The Wombats,79
Placebo,78
Pink Floyd,77
Kaiser Chiefs,76
The Lonely Island,76
Catfish and the Bottlemen,75
Dire Straits,75
Pixies,75
Caro Emerald,74
Fall Out Boy,74
John Williams,74
Rage Against the Machine,74
P!nk,73
The Human League,73
Electric Light Orchestra,72
Guns N' Roses,72
Creedence Clearwater Revival,71
Hoobastank,71
Mike & The Mechanics,71
Sara Bareilles,71
Alanis Morissette,70
Michael Jackson,70
Vertical Horizon,70
The Cribs,69
HIM,68
Iron Maiden,68
Lighthouse Family,68
The Maccabees,68
The Feeling,66
Bryan Adams,65
Evanescence,65
Faith Hill,65
Led Zeppelin,65
Air Traffic,64
Bonnie Tyler,64
Interpol,64
OK Go,64
Sonic Boom Six,64
The Prodigy,64
The Enemy,63
Foals,62
The Kooks,62
Bruce Springsteen,61
Little Man Tate,61
CHVRCHES,60
Counting Crows,60
Madness,60
a-ha,58
Catatonia,58
Katy Perry,58
Kylie Minogue,58
Phil Collins,58
Prince,58
The White Stripes,58
Eurythmics,57
Maxïmo Park,57
Pat Benatar,57
Sugar Ray,57
The All-American Rejects,57
KT Tunstall,56
Charlotte Hatherley,55
Nickelback,55
Tracy Chapman,55
Beyoncé,54
Def Leppard,54
Reel Big Fish,54
Roxette,54
The Kinks,54
B*Witched,53
Christina Aguilera,53
Glasvegas,53
Seth Lakeman,53
Sheryl Crow,53
Two Door Cinema Club,53
Blondie,52
Kids in Glass Houses,52
Paloma Faith,52
Sash!,52
Suede,52
The Jam,52
The Verve,52
Jason Mraz,51
Klaxons,51
Paul Weller,51
Richard Hawley,51
Tenacious D,51
The Lightning Seeds,51
UB40,51
Jake Bugg,50
Lady Gaga,50
Pearl Jam,50
Supergrass,50
The Hold Steady,50
The Stone Roses,50
ABBA,49
Daniel Bedingfield,49
Eagle-Eye Cherry,49
James Blunt,49
Meat Loaf,49
Tom Jones,49
alt-J,48
Bloodhound Gang,48
Elastica,48
Kodaline,48
Scissor Sisters,48
The Futureheads,48
The Who,48
Third Eye Blind,48
Twin Atlantic,48
Jamiroquai,47
Nik Kershaw,47
Primal Scream,47
Steps,47
Adam and the Ants,46
Bombay Bicycle Club,46
Heart,46
Hundred Reasons,46
Billy Idol,45
Billy Talent,45
The Thrills,45
Beastie Boys,44
Bruno Mars,44
Flight of the Conchords,44
Get Cape. Wear Cape. Fly,44
Goo Goo Dolls,44
INXS,44
M People,44
New Order,44
Paul Simon,44
Santana,44
Shania Twain,44
Status Quo,44
Talking Heads,44
The Black Keys,44
The Duckworth Lewis Method,44
The Fratellis,44
Bee Gees,43
Dodgy,43
Flo & Joan,43
Scouting for Girls,43
The Housemartins,43
Wolfmother,43
Billy Joel,42
Cher,42
Fatboy Slim,42
Of Monsters and Men,42
The Last Shadow Puppets,42
The Rakes,42
